Domain	Site Rank	Year online	Name	MBFC Fact	MBFC Bias	MBFC cred	Media Bias/Fact Check	Wiki Fake	Wiki RSP	Wiki DEPS	Wikipedia	Quality	MisinfoMe	Lang	URL	Score
10news.one	30000000	2017	10News.one	L	FN	L	https://mediabiasfactcheck.com/10news-one/					0.2	0.0	en	https://www.10news.one/	0.1
369news.net	30000000	2015	369 News	M	CP	L	https://mediabiasfactcheck.com/369news/					0.2	0.0	en	https://369news.net/	0.2
abcbusinessnews.com	30000000	2007	Experience Awareness	VL	FN	L	https://mediabiasfactcheck.com/experience-awareness-abcbusinessnews-com/					0.2	0.0	en	https://abcbusinessnews.com/	0.0
actionnews3.com	30000000	2015	Action News 3	VL	FN	L	https://mediabiasfactcheck.com/action-news-3/	1				0.1	-0.9	en	https://actionnews3.com/	0.0
adamscountytimes.com	30000000	2019	Adams County Times	M	FN	L	https://mediabiasfactcheck.com/adams-county-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.4	en	https://adamscountytimes.com/	0.2
adareporter.com	30000000	2019	Ada Reporter	M	FN	L	https://mediabiasfactcheck.com/ada-reporter/				https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://adareporter.com/	0.2
aguascalientesdailypost.com	30000000	2020	Aguascalientes Daily Post	M	FN	L	https://mediabiasfactcheck.com/aguascalientes-daily-post-bias/							en	https://aguascalientesdailypost.com/	0.2
akronreporter.com	30000000		Akron Reporter	M	FN	L	https://mediabiasfactcheck.com/akron-reporter-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1.0	en	https://akronreporter.com/	0.2
albanystandard.com	30000000	2019	Albany Standard	M	FN	L	https://mediabiasfactcheck.com/albany-standard/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.4	en	https://albanystandard.com/	0.2
alexanderhiggins.com	30000000	2006	Higgins News Network	M	CP	L	https://mediabiasfactcheck.com/higgins-news-network/					0.4	0.0	en	http://alexanderhiggins.com/	0.2
alohastatenews.com	30000000	2019	Aloha State News	M	FN	L	https://mediabiasfactcheck.com/aloha-state-news/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://alohastatenews.com/	0.2
alphanewsmn.com	30000000	2015	Alpha News	L	FN	L	https://mediabiasfactcheck.com/alpha-news/					0.2	0.0	en	https://alphanewsmn.com/	0.1
altermedzentrum.com	30000000	2018	Altermed Zentrum	VL	CP	L	https://mediabiasfactcheck.com/altermed-zentrum-bias/					0.2	-0.4	de	https://altermedzentrum.com/	0.0
alternativenews.com	30000000	1996	AlternativeNews.com	L	CP	L	https://mediabiasfactcheck.com/alternativenews-com/					0.1	0.2	en	https://alternativenews.com/	0.1
altleft.news	30000000		AltLeft.News	VL	CP	L	https://mediabiasfactcheck.com/altleft-news-bias/				https://en.wikipedia.org/wiki/Natural_News	0.3		en	https://altleft.news/	0.0
america.cgtn.com	30000000	2002	China Global Television Network	M	FN	L	https://mediabiasfactcheck.com/china-global-television-network-cgtn/				https://en.wikipedia.org/wiki/China_Global_Television_Network	0.2	0.0	en	https://america.cgtn.com/	0.2
americanconservativemovement.com	30000000	2016	American Conservative Movement	L	FN	L	https://mediabiasfactcheck.com/american-conservative-movement-acm/					0.2	-0.6	en	https://americanconservativemovement.com/	0.1
americanjournalreview.com	30000000	2015	American Journal Review	L	FN	L	https://mediabiasfactcheck.com/american-journal-review/	1				0.1	0.0	en	https://americanjournalreview.com/	0.1
americanlibertyemail.com	30000000	2018	American Liberty Report	L	FN	L	https://mediabiasfactcheck.com/american-liberty-report/					0.6	-0.6	en	https://www.americanlibertyemail.com/	0.1
americanpeopledaily.com	30000000	2017	American People Daily	L	FN	L	https://mediabiasfactcheck.com/american-people-daily/					0.2	0.0	en	https://americanpeopledaily.com/	0.1
americanpharmacynews.com	30000000	2013	American Pharmacy News	M	FN	L	https://mediabiasfactcheck.com/american-pharmacy-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1.0	en	https://americanpharmacynews.com/	0.2
americansecuritynews.com	30000000	2015	American Security News	M	FN	L	https://mediabiasfactcheck.com/american-security-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1.0	en	https://americansecuritynews.com/	0.2
americantruthtoday.com	30000000	2019	American Truth Today	L	FN	L	https://mediabiasfactcheck.com/american-truth-today/					0.2	0.6	en	https://americantruthtoday.com/	0.1
americasnewssource.com	30000000	2006	America's News Source	VL	FN	L	https://mediabiasfactcheck.com/americas-news-source/					0.1	-1.0	en	https://americasnewssource.com/	0.0
amestoday.com	30000000	2008	Ames Today	M	FN	L	https://mediabiasfactcheck.com/ames-today-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://amestoday.com/	0.2
amoskeagtimes.com	30000000	2022	Amoskeag Times	M	FN	L	https://mediabiasfactcheck.com/amoskeag-times-bias/	1						en	https://amoskeagtimes.com/	0.2
amtvmedia.com	30000000	2012	Alternative Media Television	L	CP	L	https://mediabiasfactcheck.com/alternative-media-television-amtv/					0.2	0.2	en	https://www.amtvmedia.com/	0.1
andersonreporter.com	30000000	2019	Anderson Reporter	M	FN	L	https://mediabiasfactcheck.com/anderson-reporter/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://andersonreporter.com/	0.2
andmagazine.com	30000000	2009	AND Magazine	M	CP	L	https://mediabiasfactcheck.com/and-magazine/							en	https://andmagazine.com/	0.2
anewspost.com	30000000	2019	Anonymous News	M	CP	L	https://mediabiasfactcheck.com/anewspost-com/					0.3	0.0	en	https://anewspost.com/	0.2
annearundeltoday.com	30000000	2018	Anne Arundel Today	M	FN	L	https://mediabiasfactcheck.com/anne-arundel-today-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1.0	en	https://annearundeltoday.com/	0.2
anokatimes.com	30000000	2019	Anoka Times	M	FN	L	https://mediabiasfactcheck.com/anoka-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1.0	en	https://anokatimes.com/	0.2
antelopevalleytoday.com	30000000	2019	Antelope Valley Today	M	FN	L	https://mediabiasfactcheck.com/antelope-valley-today/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://antelopevalleytoday.com/	0.2
arizonaindependent.com	30000000	2020	Arizona Independent	M	FN	L	https://mediabiasfactcheck.com/the-arizona-independent-bias/	1						en	https://arizonaindependent.com/	0.2
ashevillereporter.com	30000000	2019	Asheville Reporter	M		L	https://mediabiasfactcheck.com/asheville-reporter-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1.0	en	https://ashevillereporter.com/	0.3
athensreporter.com	30000000	2019	Athens Reporter	M	FN	L	https://mediabiasfactcheck.com/athens-reporter/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.4	en	https://athensreporter.com/	0.2
atlanticcotimes.com	30000000	2019	Atlantic County Times	M	FN	L	https://mediabiasfactcheck.com/atlantic-county-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1.0	en	https://atlanticcotimes.com/	0.2
auburntimes.com	30000000	2019	Auburn Times	M	FN	L	https://mediabiasfactcheck.com/auburn-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.4	en	https://auburntimes.com/	0.2
augustarichmondherald.com	30000000	2022	Augusta-Richmond Herald	M	FN	L	https://mediabiasfactcheck.com/augusta-richmond-herald-bias/	1						en	https://augustarichmondherald.com/	0.2
azcatholictribune.com	30000000	2020	Catholic Tribune - Arizona	M	FN	L	https://mediabiasfactcheck.com/catholic-tribune-arizona-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1.0	en	https://azcatholictribune.com/	0.2
baldwintimes.com	30000000	2019	Baldwin Times	M	FN	L	https://mediabiasfactcheck.com/baldwin-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.4	en	https://baldwintimes.com/	0.2
batonrougereporter.com	30000000	2019	Baton Rouge Reporter	M	FN	L	https://mediabiasfactcheck.com/baton-rouge-reporter-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.7	-1.0	en	https://batonrougereporter.com/	0.2
bb4sp.com	30000000	2015	BB4SP	L	FN	L	https://mediabiasfactcheck.com/bb4sp/	1				0.2	-0.9	en	https://bb4sp.com/	0.1
beaverstatenews.com	30000000	2019	Beaver State News	M	FN	L	https://mediabiasfactcheck.com/beaver-state-news-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5		en	https://beaverstatenews.com/	0.2
bentontimes.com	30000000	2019	Benton Times	M	FN	L	https://mediabiasfactcheck.com/benton-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://bentontimes.com/	0.2
bigskytimes.com	30000000	2019	Big Sky Times	M	FN	L	https://mediabiasfactcheck.com/big-sky-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1.0	en	https://bigskytimes.com/	0.2
biodefense.com	30000000	1999	BioDefense	VL	CP	L	https://mediabiasfactcheck.com/biodefense/					0.1	0.0	en	https://biodefense.com/	0.0
bioscienceresource.org	30000000	2006	Bioscience Resource Project	M	CP	L	https://mediabiasfactcheck.com/bioscience-resource-project-bias/				https://en.wikipedia.org/wiki/Bioscience_Resource_Project		0.4	en	https://bioscienceresource.org/	0.2
blingnews.com	30000000	2016	Blingnews.com	L	FN	L	https://mediabiasfactcheck.com/blingnews-com/	1				0.3	-0.2	en	https://www.blingnews.com/	0.1
bloomingtonleader.com	30000000	2019	Bloomington Leader	M	FN	L	https://mediabiasfactcheck.com/bloomington-leader/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://bloomingtonleader.com/	0.2
bluegrasstimes.com	30000000	2019	Bluegrass Times	M	FN	L	https://mediabiasfactcheck.com/bluegrass-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1.0	en	https://bluegrasstimes.com/	0.2
boisecitywire.com	30000000	2019	Boise City Wire	M	FN	L	https://mediabiasfactcheck.com/boise-city-wire/				https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-0.4	en	https://boisecitywire.com/	0.2
borderlandalternativemedia.com	30000000	2019	Borderland Alternative Media	L	FN	L	https://mediabiasfactcheck.com/borderland-alternative-media-bam/					0.3	-0.6	en	https://borderlandalternativemedia.com/	0.1
boulderleader.com	30000000	2019	Boulder Leader	M	FN	L	https://mediabiasfactcheck.com/boulder-leader/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.7	-0.4	en	https://boulderleader.com/	0.2
bowlinggreentoday.com	30000000	2019	Bowling Green Today	M	FN	L	https://mediabiasfactcheck.com/bowling-green-today-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1.0	en	https://bowlinggreentoday.com/	0.2
bransontimes.com	30000000	2019	Branson Times	M	FN	L	https://mediabiasfactcheck.com/branson-times-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1.0	en	https://bransontimes.com/	0.2
breakingfirst.com	30000000	2015	Breaking First	L	FN	L	https://mediabiasfactcheck.com/breaking-first/					0.2	0.0	en	https://breakingfirst.com/	0.1
brevardsun.com	30000000	2019	Brevard Sun	M	FN	L	https://mediabiasfactcheck.com/brevard-sun/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-0.4	en	https://brevardsun.com/	0.2
bridgeporttimes.com	30000000	2019	Bridgeport Times	M	FN	L	https://mediabiasfactcheck.com/bridgeport-times/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.3	-0.4	en	https://bridgeporttimes.com/	0.2
bristolreporter.com	30000000	2019	Bristol Reporter	M	FN	L	https://mediabiasfactcheck.com/bristol-reporter-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1	en	https://bristolreporter.com/	0.2
buckscountystandard.com	30000000	2022	Bucks County Standard	M	FN	L	https://mediabiasfactcheck.com/bucks-county-standard-bias/	1						en	https://www.buckscountystandard.com/	0.2
buffaloledger.com	30000000	2019	Buffalo Ledger	M	FN	L	https://mediabiasfactcheck.com/buffalo-ledger-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.6	-1	en	https://buffaloledger.com/	0.2
bugout.news	30000000	2015	Bugout.news	VL	CP	L	https://mediabiasfactcheck.com/bugout-news/				https://en.wikipedia.org/wiki/Natural_News	0.1	0	en	https://bugout.news/	0.0
burlingtonreporter.com	30000000	2019	Burlington Reporter	M	FN	L	https://mediabiasfactcheck.com/burlington-reporter-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.4	-1	en	https://burlingtonreporter.com/	0.2
burlingtonreview.com	30000000	2019	Burlington Review	M	FN	L	https://mediabiasfactcheck.com/burlington-review-bias/	1			https://en.wikipedia.org/wiki/Brian_Timpone	0.5	-1	en	https://burlingtonreview.com/	0.2
businessdailynetwork.com/states/ak	30000000		Alaska Business Daily	M	FN	L	https://mediabiasfactcheck.com/alaska-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/ak/	0.2
businessdailynetwork.com/states/al	30000000		Alabama Business Daily	M	FN	L	https://mediabiasfactcheck.com/alabama-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/al/	0.2
businessdailynetwork.com/states/ar	30000000		Arkansas Business Daily	M	FN	L	https://mediabiasfactcheck.com/arkansas-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/ar/	0.2
businessdailynetwork.com/states/az	30000000		Arizona Business Daily	M	FN	L	https://mediabiasfactcheck.com/arizona-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/az/	0.2
businessdailynetwork.com/states/ca	30000000		California Business Daily	M	FN	L	https://mediabiasfactcheck.com/california-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/ca/	0.2
businessdailynetwork.com/states/co	30000000		Colorado Business Daily	M	FN	L	https://mediabiasfactcheck.com/colorado-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/co/	0.2
businessdailynetwork.com/states/ct	30000000		Connecticut Business Daily	M	FN	L	https://mediabiasfactcheck.com/connecticut-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/ct/	0.2
businessdailynetwork.com/states/dc	30000000		District of Columbia Business Daily	M	FN	L	https://mediabiasfactcheck.com/district-of-columbia-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/dc/	0.2
businessdailynetwork.com/states/de	30000000		Delaware Business Daily	M	FN	L	https://mediabiasfactcheck.com/delaware-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/de/	0.2
businessdailynetwork.com/states/fl	30000000		Florida Business Daily	M	FN	L	https://mediabiasfactcheck.com/florida-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/fl/	0.2
businessdailynetwork.com/states/ga	30000000		Georgia Business Daily	M	FN	L	https://mediabiasfactcheck.com/georgia-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/ga/	0.2
businessdailynetwork.com/states/hi	30000000		Hawaii Business Daily	M	FN	L	https://mediabiasfactcheck.com/hawaii-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/hi/	0.2
businessdailynetwork.com/states/ia	30000000		Iowa Business Daily	M	FN	L	https://mediabiasfactcheck.com/iowa-business-daily-bias-and-credibility/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/ia/	0.2
businessdailynetwork.com/states/id	30000000		Idaho Business Daily	M	FN	L	https://mediabiasfactcheck.com/idaho-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/id/	0.2
businessdailynetwork.com/states/il	30000000		Illinois Business Daily	M	FN	L	https://mediabiasfactcheck.com/illinois-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/il/	0.2
businessdailynetwork.com/states/in	30000000		Indiana Business Daily	M	FN	L	https://mediabiasfactcheck.com/indiana-business-daily-bias/				https://en.wikipedia.org/wiki/Brian_Timpone			en	https://businessdailynetwork.com/states/in/	0.2
